name,segment,subsegment,founded_year,hq_country,hq_city,status,latest_valuation_usd_m,total_funding_usd_m,latest_round_date,latest_round_type,revenue_usd_m,revenue_yoy_pct,payer_type,business_model,moat_type,founders_phd_count,founders_background,tech_dna,hardware_component,china_counterpart,china_counterpart_overseas_status,entry_paths,nick_notes,data_as_of
Abridge,S1,ambient_scribe,2018,US,Pittsburgh,private,5300,800,2025-06,E,100,67,hospital,per_user_subscription,integration,1,"cardiologist (Shiv Rao) + CMU CS PhD (Zack Lipton)",hybrid,none,,,"direct hire China R&D (none yet); academic via Zack Lipton's CMU network; via Epic ecosystem partners","53x revenue multiple. Kaiser deepest deployment. Zack Lipton is well-known ML researcher",2026-05-16
Nuance DAX Copilot,S1,ambient_scribe,1992,US,Burlington_MA,acquired,19700,,2022-03,Acquired,,,hospital,enterprise_subscription,integration,,,clinical,none,,,"via Microsoft Health China (existing); via partner SI integrations","33% US mkt share; 77% US hospitals; MSFT $19.7B acq 2022",2026-05-16
Ambience Healthcare,S1,ambient_scribe_plus_coding,2020,US,San_Francisco,private,1250,243,2025-07,C,,,hospital,per_user_subscription,integration,,"Nikhil Buduma (ML; deep learning book author) + Mike Ng",hybrid,none,,,"direct hire SF (no China office); via founder network","New unicorn 2025. 13% mkt share. Horizontal scribe+coding+RCM",2026-05-16
Heidi Health,S1,ambient_scribe,2019,Australia,Melbourne,private,465,100,2025,B,,,hospital,smb_saas,brand,0,"Thomas Kelly MD",clinical,none,,,"direct hire AU/global; APAC expansion office may include China","Only international scribe at scale; APAC focus",2026-05-16
Suki AI,S1,ambient_scribe,2017,US,Redwood_City,private,,165,2024,D,,,hospital,smb_saas,brand,0,"Punit Soni (ex-Flipkart/Google exec)",algorithm,none,,,"direct hire CA",SMB practice focus; voice-first,2026-05-16
Nabla,S1,ambient_scribe_agentic,2018,France,Paris,private,180,95,2025-06,C,,,hospital,per_user_subscription,brand,0,"Alexandre Lebrun (ex-Facebook AI)",algorithm,none,,,"EU hire (Paris); US expansion","[STALE >12mo] last disclosed val Jan2024 $180M; est $300-500M post Series C",2026-05-16
Augmedix,S1,ambient_scribe,2012,US,San_Francisco,acquired,139,,2024,Acquired,,,hospital,enterprise_subscription,brand,0,"Ian Shakil (Stanford engineer ex-Apple)",hybrid,none,,,"now part of Commure org","Was public NASDAQ:AUGX; acquired by Commure 2024 for $139M",2026-05-16
DeepScribe,S1,ambient_scribe,2017,US,San_Francisco,private,,30,2022,B,,,hospital,smb_saas,brand,,"UC Berkeley alumni",algorithm,none,,,"direct hire CA; growing slowly",Smaller; pre-2025 last raise,2026-05-16
Freed,S1,ambient_scribe_outpatient,2023,US,San_Francisco,private,,,2024,seed,,,clinician,direct_to_clinician_subscription,brand,0,"physicians",clinical,none,,,"smaller team; physician-led",Outpatient SMB D2C clinician focus,2026-05-16
Eleos Health,S1,ambient_scribe_behavioral,2020,Israel,Boston_TelAviv,private,,,2024,B,,,hospital,enterprise_subscription,brand,,,clinical,none,,,"Israel/US hire",Behavioral/post-acute focus; Menlo portfolio,2026-05-16
Commure,S1+S6,scribe_plus_rcm_platform,2017,US,Mountain_View,private,6000,1000,2024,growth,,,hospital,platform_per_outcome,integration,,"General Catalyst incubated (Hemant Taneja)",hybrid,none,,,"direct hire CA; acquires aggressively","Valued $6B 2024. Acquired Augmedix 2024. Straddles S1/S6",2026-05-16
