ticker,price,center,support,resistance,support_extreme,resistance_extreme,center_dev,support_dev,resistance_dev,lower_shift_pct,upper_shift_pct,lower_extreme_pct,upper_extreme_pct,n_low_points,n_high_points
QQQ,713.6500244140625,622.1954329904165,509.4476268317928,684.5383678399975,450.2443566848804,830.5251318616337,0.1469869217523727,0.4008309918964299,0.04252742861722192,-0.18120963314811145,0.10019831638741916,-0.2763618425791059,0.334830003283592,5,5
SPY,733.5800170898438,682.384782279088,576.3889872873382,734.1788763133686,559.3305837991243,823.6490812465424,0.07502399839540597,0.2727169208112292,-0.0008156857175352084,-0.15533141673783502,0.07590159596070456,-0.1803296346512544,0.20701560561718235,5,5
GOLD,4001.0,4058.334150016749,3489.0819927596112,4355.219746472572,3208.696660335917,5782.390281704881,-0.014127508454796045,0.14671997055463248,-0.08133223283611946,-0.14026744378719735,0.07315454703368829,-0.20935621816092342,0.4248186738593265,5,5
GOOG,346.0799865722656,257.7796904891761,202.03403610998086,282.1633347743525,170.8616207461549,407.82589897267474,0.3425417103865951,0.7129786309068773,0.22652359084509555,-0.21625308911423324,0.09459102165459465,-0.3371796652330561,0.5820714898010899,5,5
GOOGL,346.1300048828125,256.9362724189311,201.24832898341222,280.5605521019743,171.0583498198457,411.53523639719623,0.3471434049547206,0.7199149261574345,0.23370873877167853,-0.21673834881795295,0.0919460668617631,-0.3342382209821376,0.6017015913042969,5,5
MSFT,373.9400024414063,491.9657928129954,408.5209132014247,600.3365994435201,343.0204897436098,622.6525244678669,-0.23990649776020645,-0.08464905869572459,-0.37711609988791506,-0.1696152066476896,0.2202811825815667,-0.30275540544747237,0.26564190755544614,5,5
AAPL,294.29998779296875,267.6273063343612,221.84547390297814,317.328118791055,200.05159158013754,333.5004502508543,0.09966352770178055,0.3265990178446365,-0.07256883217856003,-0.17106562502327527,0.1857090486671038,-0.25249932706716294,0.2461376038893215,5,5
NVDA,200.0399932861328,257.48931065016245,189.71069104425317,434.7242491324802,102.63324345210394,517.3779249056872,-0.2231134069953028,0.0544476549266808,-0.53984625038671,-0.2632288673839227,0.6883195967817002,-0.6014077508967102,1.0093180707164273,5,5
AMZN,234.1100006103516,229.5252966116895,175.97820498859167,279.9032969848997,130.86834483136988,363.9341693113673,0.01997472202995776,0.3303352004614917,-0.1636039906204413,-0.23329494575793408,0.21948779117989625,-0.42983040752683255,0.5855950288872538,5,5
META,562.2000122070312,760.564047606008,563.6613116882811,1013.8569304539002,255.8189453714078,1557.2643354003264,-0.2608117436307409,-0.0025925133603244,-0.4454838791156299,-0.2588904071097081,0.3330329426498273,-0.663645755835242,1.0475124222635226,5,5
TSLA,381.6099853515625,339.73788963118074,220.11197510443898,514.2083124708117,149.60099809244772,632.6946223434211,0.1232482363560865,0.7337084234989748,-0.25786889068771324,-0.352112373031479,0.5135442002922781,-0.5596575988187409,0.8623022090066965,5,5
KO,81.06500244140625,73.22057224799946,66.78948949155316,80.498900747472,60.948142596282025,83.42082275548854,0.10713423772266562,0.21373891398973055,0.007032415209123455,-0.08783163746199774,0.09940278088541454,-0.16760903766431212,0.13930853303004298,5,5
PEP,142.89999389648438,148.71117535069274,123.75923735300542,167.16197003131205,122.09019040765344,174.89420519920114,-0.03907696540293193,0.154661235418595,-0.1451405252659025,-0.16778791465298637,0.12407133920573488,-0.17901132769787698,0.17606632310425363,5,5
PG,152.88999938964844,159.78338976348468,141.99751810043037,174.89081352539716,131.82264846217024,184.58910773045736,-0.04314209620937448,0.07670895544465894,-0.1257974257896275,-0.11131239416926497,0.09454940081240526,-0.17499153912495302,0.155245911378465,5,5
WMT,119.66000366210938,117.67220404102852,100.78976694765193,144.67466897763953,91.56475125098558,156.18688986960885,0.01689268623189699,0.1872237359598048,-0.17290286884566053,-0.14347005081582587,0.2294719059328243,-0.22186592834566188,0.3273048732490087,5,5
COST,963.8699951171876,1112.0774762873327,933.966784802769,1311.9726254728373,883.3048190031088,1419.991247518085,-0.13327082359849185,0.03201742374674854,-0.2653276627857939,-0.1601603263103446,0.17974930114838217,-0.20571647404278048,0.2768815822605466,5,5
MCD,275.2850036621094,314.65928640658086,275.6806263251463,345.0040447492559,270.21004288193205,349.10281260272404,-0.12513307073859814,-0.0014350760454611144,-0.20208180787508556,-0.12387576583730331,0.09643687522848343,-0.14126150234515755,0.10946292604133623,5,5
CL,92.6449966430664,90.814800095943,78.16670529058139,100.81609424383701,75.93472016357389,116.30509032446332,0.02015306475585321,0.18522325200560252,-0.08104953541453142,-0.13927349718327076,0.11012846075009763,-0.1638508251589914,0.28068431799211835,5,5
KMB,107.2699966430664,114.91121864642024,99.991671336948,130.50190931406,91.80903226210155,139.39271878991278,-0.06649674499463565,0.07278931543800482,-0.17801971475440037,-0.12983542847438956,0.13567596664005466,-0.20104378542362955,0.2130470848004986,5,5
JNJ,240.67999267578125,184.07597237306544,157.54345966243386,207.1519527596656,148.90348367460652,251.87399711975868,0.3075035789461802,0.5277053912074983,0.1618523961249565,-0.14413892464388744,0.12536117609001263,-0.19107593590311223,0.36831545080358175,5,5
PM,179.01499938964844,165.99284158155848,139.71101312332155,208.59852902178707,123.50785931701924,215.94751440796708,0.07845011678826941,0.28132346468372993,-0.1418204134557861,-0.1583310955329582,0.25667183617249445,-0.25594466520211223,0.3009447416554045,5,5
